current_date_formatted,current_label_en,current_lat,current_lng,current_confirmed
27.06.2020,Cherkaska,49.260159,31.352536,635
28.06.2020,Cherkaska,49.260159,31.352536,642
29.06.2020,Cherkaska,49.260159,31.352536,642
30.06.2020,Cherkaska,49.260159,31.352536,642
01.07.2020,Cherkaska,49.260159,31.352536,645
02.07.2020,Cherkaska,49.260159,31.352536,645
03.07.2020,Cherkaska,49.260159,31.352536,653
04.07.2020,Cherkaska,49.260159,31.352536,657
05.07.2020,Cherkaska,49.260159,31.352536,661
06.07.2020,Cherkaska,49.260159,31.352536,670
07.07.2020,Cherkaska,49.260159,31.352536,678
08.07.2020,Cherkaska,49.260159,31.352536,695
09.07.2020,Cherkaska,49.260159,31.352536,707
10.07.2020,Cherkaska,49.260159,31.352536,725
11.07.2020,Cherkaska,49.260159,31.352536,738
12.07.2020,Cherkaska,49.260159,31.352536,748
13.07.2020,Cherkaska,49.260159,31.352536,754
14.07.2020,Cherkaska,49.260159,31.352536,755
15.07.2020,Cherkaska,49.260159,31.352536,771
16.07.2020,Cherkaska,49.260159,31.352536,783
17.07.2020,Cherkaska,49.260159,31.352536,800
18.07.2020,Cherkaska,49.260159,31.352536,818
19.07.2020,Cherkaska,49.260159,31.352536,833
20.07.2020,Cherkaska,49.260159,31.352536,845
21.07.2020,Cherkaska,49.260159,31.352536,847
22.07.2020,Cherkaska,49.260159,31.352536,853
23.07.2020,Cherkaska,49.260159,31.352536,870
24.07.2020,Cherkaska,49.260159,31.352536,888
25.07.2020,Cherkaska,49.260159,31.352536,897
26.07.2020,Cherkaska,49.260159,31.352536,897
27.07.2020,Cherkaska,49.260159,31.352536,902
28.07.2020,Cherkaska,49.260159,31.352536,906
29.07.2020,Cherkaska,49.260159,31.352536,910
30.07.2020,Cherkaska,49.260159,31.352536,919
31.07.2020,Cherkaska,49.260159,31.352536,924
01.08.2020,Cherkaska,49.260159,31.352536,942
02.08.2020,Cherkaska,49.260159,31.352536,949
03.08.2020,Cherkaska,49.260159,31.352536,954
04.08.2020,Cherkaska,49.260159,31.352536,955
05.08.2020,Cherkaska,49.260159,31.352536,959
06.08.2020,Cherkaska,49.260159,31.352536,969
07.08.2020,Cherkaska,49.260159,31.352536,975
08.08.2020,Cherkaska,49.260159,31.352536,996
09.08.2020,Cherkaska,49.260159,31.352536,1022
10.08.2020,Cherkaska,49.260159,31.352536,1036
11.08.2020,Cherkaska,49.260159,31.352536,1039
12.08.2020,Cherkaska,49.260159,31.352536,1049
13.08.2020,Cherkaska,49.260159,31.352536,1067
14.08.2020,Cherkaska,49.260159,31.352536,1092
15.08.2020,Cherkaska,49.260159,31.352536,1114
16.08.2020,Cherkaska,49.260159,31.352536,1148
17.08.2020,Cherkaska,49.260159,31.352536,1165
18.08.2020,Cherkaska,49.260159,31.352536,1167
19.08.2020,Cherkaska,49.260159,31.352536,1175
20.08.2020,Cherkaska,49.260159,31.352536,1200
21.08.2020,Cherkaska,49.260159,31.352536,1219
22.08.2020,Cherkaska,49.260159,31.352536,1248
23.08.2020,Cherkaska,49.260159,31.352536,1286
24.08.2020,Cherkaska,49.260159,31.352536,1297
25.08.2020,Cherkaska,49.260159,31.352536,1300
26.08.2020,Cherkaska,49.260159,31.352536,1305
27.08.2020,Cherkaska,49.260159,31.352536,1318
28.08.2020,Cherkaska,49.260159,31.352536,1390
29.08.2020,Cherkaska,49.260159,31.352536,1482
30.08.2020,Cherkaska,49.260159,31.352536,1538
31.08.2020,Cherkaska,49.260159,31.352536,1573
01.09.2020,Cherkaska,49.260159,31.352536,1594
02.09.2020,Cherkaska,49.260159,31.352536,1642
03.09.2020,Cherkaska,49.260159,31.352536,1670
04.09.2020,Cherkaska,49.260159,31.352536,1756
05.09.2020,Cherkaska,49.260159,31.352536,1849
06.09.2020,Cherkaska,49.260159,31.352536,1894
07.09.2020,Cherkaska,49.260159,31.352536,1950
08.09.2020,Cherkaska,49.260159,31.352536,2046
09.09.2020,Cherkaska,49.260159,31.352536,2121
10.09.2020,Cherkaska,49.260159,31.352536,2177
11.09.2020,Cherkaska,49.260159,31.352536,2294
12.09.2020,Cherkaska,49.260159,31.352536,2384
13.09.2020,Cherkaska,49.260159,31.352536,2495
14.09.2020,Cherkaska,49.260159,31.352536,2579
15.09.2020,Cherkaska,49.260159,31.352536,2688
16.09.2020,Cherkaska,49.260159,31.352536,2739
17.09.2020,Cherkaska,49.260159,31.352536,2820
18.09.2020,Cherkaska,49.260159,31.352536,2891
19.09.2020,Cherkaska,49.260159,31.352536,2983
20.09.2020,Cherkaska,49.260159,31.352536,3035
21.09.2020,Cherkaska,49.260159,31.352536,3096
22.09.2020,Cherkaska,49.260159,31.352536,3145
13.03.2020,Chernihivska,51.355018,32.004509,0
14.03.2020,Chernihivska,51.355018,32.004509,0
15.03.2020,Chernihivska,51.355018,32.004509,0
16.03.2020,Chernihivska,51.355018,32.004509,0
17.03.2020,Chernihivska,51.355018,32.004509,0
18.03.2020,Chernihivska,51.355018,32.004509,0
19.03.2020,Chernihivska,51.355018,32.004509,0
20.03.2020,Chernihivska,51.355018,32.004509,0
21.03.2020,Chernihivska,51.355018,32.004509,0
22.03.2020,Chernihivska,51.355018,32.004509,0
23.03.2020,Chernihivska,51.355018,32.004509,0
24.03.2020,Chernihivska,51.355018,32.004509,0
25.03.2020,Chernihivska,51.355018,32.004509,0
26.03.2020,Chernihivska,51.355018,32.004509,0
27.03.2020,Chernihivska,51.355018,32.004509,0
28.03.2020,Chernihivska,51.355018,32.004509,1
29.03.2020,Chernihivska,51.355018,32.004509,1
30.03.2020,Chernihivska,51.355018,32.004509,2
31.03.2020,Chernihivska,51.355018,32.004509,2
01.04.2020,Chernihivska,51.355018,32.004509,3
02.04.2020,Chernihivska,51.355018,32.004509,5
03.04.2020,Chernihivska,51.355018,32.004509,5
04.04.2020,Chernihivska,51.355018,32.004509,7
05.04.2020,Chernihivska,51.355018,32.004509,7
06.04.2020,Chernihivska,51.355018,32.004509,7
07.04.2020,Chernihivska,51.355018,32.004509,7
08.04.2020,Chernihivska,51.355018,32.004509,7
09.04.2020,Chernihivska,51.355018,32.004509,9
10.04.2020,Chernihivska,51.355018,32.004509,9
11.04.2020,Chernihivska,51.355018,32.004509,9
12.04.2020,Chernihivska,51.355018,32.004509,9
13.04.2020,Chernihivska,51.355018,32.004509,9
14.04.2020,Chernihivska,51.355018,32.004509,10
15.04.2020,Chernihivska,51.355018,32.004509,10
16.04.2020,Chernihivska,51.355018,32.004509,11
17.04.2020,Chernihivska,51.355018,32.004509,12
18.04.2020,Chernihivska,51.355018,32.004509,12
19.04.2020,Chernihivska,51.355018,32.004509,12
20.04.2020,Chernihivska,51.355018,32.004509,12
21.04.2020,Chernihivska,51.355018,32.004509,13
22.04.2020,Chernihivska,51.355018,32.004509,13
23.04.2020,Chernihivska,51.355018,32.004509,17
24.04.2020,Chernihivska,51.355018,32.004509,19
25.04.2020,Chernihivska,51.355018,32.004509,22
26.04.2020,Chernihivska,51.355018,32.004509,32
27.04.2020,Chernihivska,51.355018,32.004509,35
28.04.2020,Chernihivska,51.355018,32.004509,39
29.04.2020,Chernihivska,51.355018,32.004509,41
30.04.2020,Chernihivska,51.355018,32.004509,50
01.05.2020,Chernihivska,51.355018,32.004509,50
02.05.2020,Chernihivska,51.355018,32.004509,51
03.05.2020,Chernihivska,51.355018,32.004509,54
04.05.2020,Chernihivska,51.355018,32.004509,64
05.05.2020,Chernihivska,51.355018,32.004509,64
06.05.2020,Chernihivska,51.355018,32.004509,65
07.05.2020,Chernihivska,51.355018,32.004509,68
08.05.2020,Chernihivska,51.355018,32.004509,69
09.05.2020,Chernihivska,51.355018,32.004509,73
10.05.2020,Chernihivska,51.355018,32.004509,73
11.05.2020,Chernihivska,51.355018,32.004509,77
12.05.2020,Chernihivska,51.355018,32.004509,79
13.05.2020,Chernihivska,51.355018,32.004509,79
14.05.2020,Chernihivska,51.355018,32.004509,84
15.05.2020,Chernihivska,51.355018,32.004509,96
16.05.2020,Chernihivska,51.355018,32.004509,105
17.05.2020,Chernihivska,51.355018,32.004509,108
18.05.2020,Chernihivska,51.355018,32.004509,108
19.05.2020,Chernihivska,51.355018,32.004509,110
20.05.2020,Chernihivska,51.355018,32.004509,115
21.05.2020,Chernihivska,51.355018,32.004509,117
22.05.2020,Chernihivska,51.355018,32.004509,119
23.05.2020,Chernihivska,51.355018,32.004509,127
24.05.2020,Chernihivska,51.355018,32.004509,129
25.05.2020,Chernihivska,51.355018,32.004509,131
26.05.2020,Chernihivska,51.355018,32.004509,134
27.05.2020,Chernihivska,51.355018,32.004509,137
28.05.2020,Chernihivska,51.355018,32.004509,140
29.05.2020,Chernihivska,51.355018,32.004509,150
30.05.2020,Chernihivska,51.355018,32.004509,159
31.05.2020,Chernihivska,51.355018,32.004509,167
01.06.2020,Chernihivska,51.355018,32.004509,177
02.06.2020,Chernihivska,51.355018,32.004509,188
03.06.2020,Chernihivska,51.355018,32.004509,203
04.06.2020,Chernihivska,51.355018,32.004509,238
05.06.2020,Chernihivska,51.355018,32.004509,250
06.06.2020,Chernihivska,51.355018,32.004509,257
07.06.2020,Chernihivska,51.355018,32.004509,279
08.06.2020,Chernihivska,51.355018,32.004509,299
09.06.2020,Chernihivska,51.355018,32.004509,304
10.06.2020,Chernihivska,51.355018,32.004509,320
11.06.2020,Chernihivska,51.355018,32.004509,341
12.06.2020,Chernihivska,51.355018,32.004509,366
13.06.2020,Chernihivska,51.355018,32.004509,385
14.06.2020,Chernihivska,51.355018,32.004509,410
15.06.2020,Chernihivska,51.355018,32.004509,424
16.06.2020,Chernihivska,51.355018,32.004509,427
17.06.2020,Chernihivska,51.355018,32.004509,440
18.06.2020,Chernihivska,51.355018,32.004509,448
19.06.2020,Chernihivska,51.355018,32.004509,459
20.06.2020,Chernihivska,51.355018,32.004509,467
21.06.2020,Chernihivska,51.355018,32.004509,475
22.06.2020,Chernihivska,51.355018,32.004509,480
23.06.2020,Chernihivska,51.355018,32.004509,485
24.06.2020,Chernihivska,51.355018,32.004509,494
25.06.2020,Chernihivska,51.355018,32.004509,506
26.06.2020,Chernihivska,51.355018,32.004509,514
27.06.2020,Chernihivska,51.355018,32.004509,519
28.06.2020,Chernihivska,51.355018,32.004509,526
29.06.2020,Chernihivska,51.355018,32.004509,535
30.06.2020,Chernihivska,51.355018,32.004509,536
01.07.2020,Chernihivska,51.355018,32.004509,538
02.07.2020,Chernihivska,51.355018,32.004509,547
03.07.2020,Chernihivska,51.355018,32.004509,554
04.07.2020,Chernihivska,51.355018,32.004509,560
05.07.2020,Chernihivska,51.355018,32.004509,572
06.07.2020,Chernihivska,51.355018,32.004509,576
07.07.2020,Chernihivska,51.355018,32.004509,576
08.07.2020,Chernihivska,51.355018,32.004509,578
09.07.2020,Chernihivska,51.355018,32.004509,585
10.07.2020,Chernihivska,51.355018,32.004509,592
11.07.2020,Chernihivska,51.355018,32.004509,594
12.07.2020,Chernihivska,51.355018,32.004509,607
13.07.2020,Chernihivska,51.355018,32.004509,608
14.07.2020,Chernihivska,51.355018,32.004509,612
15.07.2020,Chernihivska,51.355018,32.004509,624
16.07.2020,Chernihivska,51.355018,32.004509,628
17.07.2020,Chernihivska,51.355018,32.004509,632
18.07.2020,Chernihivska,51.355018,32.004509,632
19.07.2020,Chernihivska,51.355018,32.004509,642
20.07.2020,Chernihivska,51.355018,32.004509,642
21.07.2020,Chernihivska,51.355018,32.004509,649
22.07.2020,Chernihivska,51.355018,32.004509,654
23.07.2020,Chernihivska,51.355018,32.004509,667
24.07.2020,Chernihivska,51.355018,32.004509,679
25.07.2020,Chernihivska,51.355018,32.004509,690
26.07.2020,Chernihivska,51.355018,32.004509,711
27.07.2020,Chernihivska,51.355018,32.004509,720
28.07.2020,Chernihivska,51.355018,32.004509,726
29.07.2020,Chernihivska,51.355018,32.004509,745
30.07.2020,Chernihivska,51.355018,32.004509,789
31.07.2020,Chernihivska,51.355018,32.004509,823
01.08.2020,Chernihivska,51.355018,32.004509,843
02.08.2020,Chernihivska,51.355018,32.004509,883
03.08.2020,Chernihivska,51.355018,32.004509,900
04.08.2020,Chernihivska,51.355018,32.004509,909
05.08.2020,Chernihivska,51.355018,32.004509,920
06.08.2020,Chernihivska,51.355018,32.004509,937
07.08.2020,Chernihivska,51.355018,32.004509,965
08.08.2020,Chernihivska,51.355018,32.004509,991
09.08.2020,Chernihivska,51.355018,32.004509,1014
