current_date_formatted,current_label_en,current_death
02.09.2020,Cherkaska,38
03.09.2020,Cherkaska,39
04.09.2020,Cherkaska,40
05.09.2020,Cherkaska,41
06.09.2020,Cherkaska,41
07.09.2020,Cherkaska,41
08.09.2020,Cherkaska,41
09.09.2020,Cherkaska,41
10.09.2020,Cherkaska,41
11.09.2020,Cherkaska,41
12.09.2020,Cherkaska,42
13.09.2020,Cherkaska,43
14.09.2020,Cherkaska,43
15.09.2020,Cherkaska,43
16.09.2020,Cherkaska,45
17.09.2020,Cherkaska,47
18.09.2020,Cherkaska,47
19.09.2020,Cherkaska,48
20.09.2020,Cherkaska,48
21.09.2020,Cherkaska,48
22.09.2020,Cherkaska,49
13.03.2020,Chernihivska,0
14.03.2020,Chernihivska,0
15.03.2020,Chernihivska,0
16.03.2020,Chernihivska,0
17.03.2020,Chernihivska,0
18.03.2020,Chernihivska,0
19.03.2020,Chernihivska,0
20.03.2020,Chernihivska,0
21.03.2020,Chernihivska,0
22.03.2020,Chernihivska,0
23.03.2020,Chernihivska,0
24.03.2020,Chernihivska,0
25.03.2020,Chernihivska,0
26.03.2020,Chernihivska,0
27.03.2020,Chernihivska,0
28.03.2020,Chernihivska,0
29.03.2020,Chernihivska,0
30.03.2020,Chernihivska,0
31.03.2020,Chernihivska,0
01.04.2020,Chernihivska,0
02.04.2020,Chernihivska,0
03.04.2020,Chernihivska,0
04.04.2020,Chernihivska,0
05.04.2020,Chernihivska,0
06.04.2020,Chernihivska,0
07.04.2020,Chernihivska,1
08.04.2020,Chernihivska,1
09.04.2020,Chernihivska,1
10.04.2020,Chernihivska,1
11.04.2020,Chernihivska,1
12.04.2020,Chernihivska,1
13.04.2020,Chernihivska,1
14.04.2020,Chernihivska,1
15.04.2020,Chernihivska,1
16.04.2020,Chernihivska,1
17.04.2020,Chernihivska,1
18.04.2020,Chernihivska,1
19.04.2020,Chernihivska,1
20.04.2020,Chernihivska,1
21.04.2020,Chernihivska,1
22.04.2020,Chernihivska,1
23.04.2020,Chernihivska,1
24.04.2020,Chernihivska,1
25.04.2020,Chernihivska,2
26.04.2020,Chernihivska,2
27.04.2020,Chernihivska,2
28.04.2020,Chernihivska,4
29.04.2020,Chernihivska,4
30.04.2020,Chernihivska,4
01.05.2020,Chernihivska,4
02.05.2020,Chernihivska,4
03.05.2020,Chernihivska,5
04.05.2020,Chernihivska,5
05.05.2020,Chernihivska,5
06.05.2020,Chernihivska,5
07.05.2020,Chernihivska,6
08.05.2020,Chernihivska,6
