Forecast Day,Quantile,Hidden,Hospital,Fatality,Mild,Cases,Hidden CI,Hospital CI,Fatality CI,Mild CI,Cases CI
May-15,0.5,1504,468,369,2565,16356,±23,±7,±3,±35,±126
May-15,0.95,1992,596,425,3226,18839
May-16,0.05,1090,339,320,1885,14154
May-16,0.5,1515,468,380,2575,16768,±24,±7,±3,±36,±131
May-16,0.95,1996,603,438,3257,19364
May-17,0.05,1081,337,330,1867,14453
May-17,0.5,1522,471,392,2585,17164,±24,±7,±3,±36,±137
May-17,0.95,2018,611,452,3280,19814
May-18,0.05,1083,336,336,1885,14792
May-18,0.5,1523,472,403,2597,17578,±25,±7,±3,±37,±142
May-18,0.95,2039,619,466,3288,20327
May-19,0.05,1095,338,347,1923,15096
May-19,0.5,1535,474,414,2608,17988,±25,±7,±3,±38,±148
May-19,0.95,2054,619,478,3305,20847
May-20,0.05,1095,341,355,1925,15393
May-20,0.5,1548,476,426,2625,18432,±26,±7,±4,±39,±154
May-20,0.95,2075,622,494,3389,21330
May-21,0.05,1101,342,362,1917,15677
May-21,0.5,1558,478,436,2634,18865,±26,±7,±4,±40,±160
May-21,0.95,2097,631,504,3438,21895
May-22,0.05,1097,345,372,1923,16017
May-22,0.5,1564,482,449,2645,19306,±27,±8,±4,±41,±166
May-22,0.95,2113,640,520,3478,22367
May-23,0.05,1097,341,381,1910,16352
May-23,0.5,1579,484,460,2662,19723,±27,±8,±4,±41,±173
May-23,0.95,2117,645,537,3505,22850
May-24,0.05,1099,349,390,1913,16645
May-24,0.5,1588,486,472,2674,20156,±28,±8,±4,±42,±179
May-24,0.95,2136,650,552,3523,23267
May-25,0.05,1103,346,397,1910,16968
May-25,0.5,1604,487,483,2684,20597,±28,±8,±4,±43,±186
May-25,0.95,2182,641,565,3552,23838
May-26,0.05,1106,347,407,1921,17265
May-26,0.5,1610,489,495,2696,21017,±29,±8,±4,±44,±192
May-26,0.95,2189,663,577,3595,24475
May-27,0.05,1113,353,414,1917,17616
May-27,0.5,1626,493,506,2705,21431,±29,±8,±5,±45,±199
May-27,0.95,2234,664,594,3629,25014
May-28,0.05,1094,350,424,1918,17941
May-28,0.5,1632,495,518,2736,21886,±30,±8,±5,±46,±206
May-28,0.95,2240,670,605,3677,25718
May-29,0.05,1097,353,434,1926,18243
May-29,0.5,1656,498,531,2758,22322,±30,±9,±5,±46,±213
May-29,0.95,2237,678,620,3695,26335
May-30,0.05,1092,354,444,1929,18508
May-30,0.5,1672,501,543,2770,22789,±30,±9,±5,±47,±221
