Forecast Day,Quantile,Hidden,Hospital,Fatality,Mild,Cases,Hidden CI,Hospital CI,Fatality CI,Mild CI,Cases CI
May-15,0.5,2661,792,478,4332,22268,±34,±10,±4,±52,±178
May-15,0.95,3332,985,559,5404,25990
May-16,0.05,2015,623,419,3448,19704
May-16,0.5,2689,797,495,4369,22975,±35,±10,±4,±53,±186
May-16,0.95,3374,996,581,5451,26876
May-17,0.05,2019,630,436,3438,20281
May-17,0.5,2705,805,514,4413,23701,±36,±10,±4,±54,±194
May-17,0.95,3438,1003,602,5497,27815
May-18,0.05,2042,617,451,3435,20766
May-18,0.5,2728,810,533,4458,24407,±37,±10,±4,±55,±203
May-18,0.95,3463,1018,626,5556,28759
May-19,0.05,2038,629,467,3447,21411
May-19,0.5,2749,815,553,4496,25141,±37,±10,±5,±56,±212
May-19,0.95,3512,1028,649,5626,29601
May-20,0.05,2058,625,483,3451,22026
May-20,0.5,2782,824,571,4535,25863,±38,±11,±5,±57,±221
May-20,0.95,3538,1038,672,5704,30548
May-21,0.05,2061,637,500,3465,22623
May-21,0.5,2803,832,590,4586,26622,±39,±11,±5,±59,±230
May-21,0.95,3592,1053,698,5772,31437
May-22,0.05,2081,631,517,3461,23078
May-22,0.5,2826,841,610,4625,27388,±40,±11,±5,±60,±239
May-22,0.95,3645,1067,722,5857,32286
May-23,0.05,2096,640,531,3481,23707
May-23,0.5,2859,848,631,4665,28136,±40,±11,±5,±61,±249
May-23,0.95,3698,1071,746,5897,33229
May-24,0.05,2103,632,545,3512,24199
May-24,0.5,2892,854,651,4697,28942,±41,±11,±6,±62,±258
May-24,0.95,3748,1080,766,5950,34156
May-25,0.05,2127,637,562,3522,24842
May-25,0.5,2916,862,670,4742,29724,±42,±12,±6,±64,±268
May-25,0.95,3771,1083,786,6030,35189
May-26,0.05,2143,645,578,3572,25487
May-26,0.5,2937,871,691,4791,30504,±42,±12,±6,±65,±279
May-26,0.95,3817,1094,815,6117,36106
May-27,0.05,2150,648,594,3594,26029
May-27,0.5,2980,877,711,4853,31331,±43,±12,±6,±66,±289
May-27,0.95,3831,1118,841,6217,37147
May-28,0.05,2183,655,610,3620,26672
May-28,0.5,3005,889,731,4901,32152,±43,±13,±7,±68,±299
May-28,0.95,3855,1136,869,6263,38137
May-29,0.05,2209,657,626,3615,27205
May-29,0.5,3021,897,752,4950,32965,±44,±13,±7,±68,±310
May-29,0.95,3881,1148,897,6361,39170
May-30,0.05,2205,662,645,3644,27843
May-30,0.5,3061,905,773,4990,33767,±44,±13,±7,±70,±321
May-30,0.95,3920,1155,916,6415,40220
May-31,0.05,2229,661,661,3655,28385
May-31,0.5,3110,917,794,5044,34581,±45,±13,±7,±71,±332
May-31,0.95,3969,1169,946,6445,41302
Jun-1,0.05,2250,673,678,3694,28999
Jun-1,0.5,3142,924,817,5082,35396,±46,±13,±8,±72,±343
Jun-1,0.95,4045,1189,969,6482,42343
Jun-2,0.05,2284,672,695,3717,29585
Jun-2,0.5,3159,933,838,5127,36217,±47,±13,±8,±73,±354
Jun-2,0.95,4076,1202,1000,6558,43485
Jun-3,0.05,2276,676,712,3776,30113
Jun-3,0.5,3186,942,860,5176,37085,±48,±14,±8,±74,±365
Jun-3,0.95,4137,1221,1025,6616,44566
Jun-4,0.05,2296,682,729,3819,30703
Jun-4,0.5,3212,951,882,5242,37940,±48,±14,±9,±75,±377
Jun-4,0.95,4154,1226,1051,6676,45596
Jun-5,0.05,2304,689,746,3809,31431
Jun-5,0.5,3239,962,906,5294,38791,±49,±14,±9,±76,±389
Jun-5,0.95,4203,1227,1084,6802,46719
Jun-6,0.05,2324,701,761,3868,32120
Jun-6,0.5,3270,967,927,5348,39642,±49,±14,±9,±77,±401
Jun-6,0.95,4231,1246,1119,6874,47569
Jun-7,0.05,2369,707,775,3926,32911
Jun-7,0.5,3296,980,951,5396,40528,±50,±14,±9,±79,±413
Jun-7,0.95,4282,1267,1146,6910,48653
Jun-8,0.05,2423,708,792,3942,33647
Jun-8,0.5,3334,985,972,5459,41423,±51,±15,±10,±80,±425
Jun-8,0.95,4295,1262,1173,7007,49876
Jun-9,0.05,2423,711,810,3977,34290
